Kabupaten_Kota,APM_SD,APM_SMP,APM_SMA,HLS,RLS,Lulus_SMA_Plus,Cluster,Membership_C1,Membership_C2,Membership_C3
Kepulauan Mentawai,98.05,73.86,59.9,12.9,7.76,25.8,1,0.554419301,0.137836203,0.307744496
Pesisir Selatan,99.41,82.64,68.06,13.36,8.58,33.74,3,0.308121107,0.080478192,0.6114007
Kab.Solok,98.63,81.65,63.24,13.55,7.9,28.5,1,0.852663936,0.022250684,0.12508538
Sijunjung,98.49,84.91,64.37,12.72,8.57,27.78,1,0.840700199,0.028776904,0.130522897
Tanah Datar,99.04,81.07,70.48,14.78,9.02,32.65,3,0.161168185,0.109720818,0.729110996
Padang Pariaman,99.5,82.13,76.61,14.19,8.41,32.14,3,0.155757495,0.123389143,0.720853362
Agam,98.54,85.29,73.49,13.89,9.22,30.81,3,0.28494985,0.080316122,0.634734028
Lima Puluh Kota,98.88,83,63.19,13.41,8.12,28.47,1,0.8162008,0.025790281,0.158008919
Pasaman,98.14,87.01,68.98,13.25,8.13,26.69,1,0.631709896,0.075536694,0.292753409
Solok Selatan,98.61,83.97,68.09,12.8,8.69,29.54,1,0.817736003,0.024575919,0.157688078
Dharmasraya,98.34,80.57,60.99,12.68,8.71,30.74,1,0.81143804,0.040115812,0.148446148
Pasaman Barat,99.12,83.54,73.33,13.7,8.81,32.71,3,0.077600331,0.027240761,0.895158908
Padang,99.24,83.08,80.23,16.56,11.62,46.19,2,0.071347103,0.792237152,0.136415745
Kota Solok,99.62,80.34,82.82,14.36,11.36,41.07,2,0.058079993,0.803436011,0.138483996
Sawahlunto,98.05,82.61,79.98,13.69,10.44,39.86,3,0.234145551,0.337074167,0.428780283
Padang Panjang,99.35,81.28,77.24,15.29,11.94,41.77,2,0.016837096,0.945665767,0.037497137
Bukittinggi,99.21,88.76,81.33,15.01,11.64,44.89,2,0.124753284,0.637915487,0.237331229
Payakumbuh,97.52,80.55,77.65,14.3,10.88,41.09,2,0.259123409,0.377666352,0.36321024
Pariaman,99.5,76.94,81.62,14.79,10.79,38.16,2,0.110745451,0.640003137,0.249251412
